net,wires
"(1, 4)","[(1, 5, 0), (1, 6, 0), (2, 6, 0), (2, 5, 0), (3, 5, 0), (4, 5, 0), (5, 5, 0), (5, 5, 1), (5, 4, 1), (5, 4, 0), (5, 3, 0), (6, 3, 0), (6, 2, 0)]"
"(1, 2)","[(1, 5, 0), (1, 5, 1), (2, 5, 1), (2, 6, 1), (3, 6, 1), (3, 6, 0), (4, 6, 0), (5, 6, 0), (6, 6, 0), (6, 5, 0)]"
"(5, 2)","[(3, 1, 0), (3, 0, 0), (4, 0, 0), (4, 0, 1), (4, 1, 1), (4, 2, 1), (5, 2, 1), (5, 3, 1), (6, 3, 1), (6, 4, 1), (7, 4, 1), (7, 4, 0), (6, 4, 0), (6, 5, 0)]"
"(2, 4)","[(6, 5, 0), (7, 5, 0), (7, 6, 0), (7, 6, 1), (7, 5, 1), (7, 5, 2), (7, 4, 2), (7, 3, 2), (7, 3, 1), (7, 2, 1), (6, 2, 1), (6, 2, 0)]"
"(3, 5)","[(4, 4, 0), (4, 3, 0), (4, 2, 0), (4, 1, 0), (3, 1, 0)]"
"(3, 4)","[(4, 4, 0), (4, 4, 1), (4, 3, 1), (4, 3, 2), (4, 2, 2), (4, 1, 2), (5, 1, 2), (5, 1, 1), (5, 0, 1), (6, 0, 1), (6, 0, 0), (6, 1, 0), (6, 2, 0)]"
"(1, 3)","[(1, 5, 0), (1, 4, 0), (2, 4, 0), (3, 4, 0), (4, 4, 0)]"
chip_0_netlist_2.csv,72
